timestamp,volume,y_pred
2015-11-04 00:00:00,13,14
2015-11-04 00:05:00,11,14
2015-11-04 00:10:00,18,13
2015-11-04 00:15:00,16,13
2015-11-04 00:20:00,16,13
2015-11-04 00:25:00,14,13
2015-11-04 00:30:00,13,12
2015-11-04 00:35:00,11,12
2015-11-04 00:40:00,16,12
2015-11-04 00:45:00,9,12
2015-11-04 00:50:00,7,11
2015-11-04 00:55:00,11,11
2015-11-04 01:00:00,5,11
2015-11-04 01:05:00,8,11
2015-11-04 01:10:00,10,11
2015-11-04 01:15:00,14,10
2015-11-04 01:20:00,10,10
2015-11-04 01:25:00,8,10
2015-11-04 01:30:00,12,10
2015-11-04 01:35:00,6,10
2015-11-04 01:40:00,9,9
2015-11-04 01:45:00,9,9
2015-11-04 01:50:00,7,9
2015-11-04 01:55:00,9,8
2015-11-04 02:00:00,5,8
2015-11-04 02:05:00,7,8
2015-11-04 02:10:00,1,8
2015-11-04 02:15:00,4,7
2015-11-04 02:20:00,11,7
2015-11-04 02:25:00,10,7
2015-11-04 02:30:00,5,6
2015-11-04 02:35:00,11,6
2015-11-04 02:40:00,7,6
2015-11-04 02:45:00,4,5
2015-11-04 02:50:00,5,5
2015-11-04 02:55:00,3,5
2015-11-04 03:00:00,1,4
2015-11-04 03:05:00,3,4
2015-11-04 03:10:00,2,4
2015-11-04 03:15:00,10,3
2015-11-04 03:20:00,11,3
2015-11-04 03:25:00,1,3
2015-11-04 03:30:00,3,3
2015-11-04 03:35:00,3,3
2015-11-04 03:40:00,6,3
2015-11-04 03:45:00,4,3
2015-11-04 03:50:00,10,3
2015-11-04 03:55:00,8,3
2015-11-04 04:00:00,4,3
2015-11-04 04:05:00,5,3
2015-11-04 04:10:00,8,3
2015-11-04 04:15:00,2,3
2015-11-04 04:20:00,6,4
2015-11-04 04:25:00,4,4
2015-11-04 04:30:00,6,5
2015-11-04 04:35:00,5,5
2015-11-04 04:40:00,17,6
2015-11-04 04:45:00,15,6
2015-11-04 04:50:00,22,7
2015-11-04 04:55:00,18,8
2015-11-04 05:00:00,12,9
2015-11-04 05:05:00,21,10
2015-11-04 05:10:00,13,11
2015-11-04 05:15:00,14,12
2015-11-04 05:20:00,11,13
2015-11-04 05:25:00,11,14
2015-11-04 05:30:00,20,15
2015-11-04 05:35:00,11,16
2015-11-04 05:40:00,8,18
2015-11-04 05:45:00,12,19
2015-11-04 05:50:00,18,21
2015-11-04 05:55:00,19,22
2015-11-04 06:00:00,26,24
2015-11-04 06:05:00,24,25
2015-11-04 06:10:00,30,27
2015-11-04 06:15:00,29,28
2015-11-04 06:20:00,32,30
2015-11-04 06:25:00,39,32
2015-11-04 06:30:00,26,33
2015-11-04 06:35:00,34,35
2015-11-04 06:40:00,35,36
2015-11-04 06:45:00,35,38
2015-11-04 06:50:00,43,40
2015-11-04 06:55:00,53,41
2015-11-04 07:00:00,40,43
2015-11-04 07:05:00,44,44
2015-11-04 07:10:00,61,46
2015-11-04 07:15:00,67,47
2015-11-04 07:20:00,51,49
2015-11-04 07:25:00,74,50
2015-11-04 07:30:00,64,51
2015-11-04 07:35:00,58,53
2015-11-04 07:40:00,92,54
2015-11-04 07:45:00,74,55
2015-11-04 07:50:00,64,56
2015-11-04 07:55:00,62,57
2015-11-04 08:00:00,74,58
2015-11-04 08:05:00,84,59
2015-11-04 08:10:00,50,59
2015-11-04 08:15:00,64,60
2015-11-04 08:20:00,66,61
2015-11-04 08:25:00,62,61
2015-11-04 08:30:00,64,62
2015-11-04 08:35:00,51,62
2015-11-04 08:40:00,60,62
2015-11-04 08:45:00,58,62
2015-11-04 08:50:00,46,62
2015-11-04 08:55:00,44,62
2015-11-04 09:00:00,41,62
2015-11-04 09:05:00,57,62
2015-11-04 09:10:00,58,62
2015-11-04 09:15:00,69,62
2015-11-04 09:20:00,68,62
2015-11-04 09:25:00,44,61
2015-11-04 09:30:00,54,61
2015-11-04 09:35:00,58,60
2015-11-04 09:40:00,52,60
2015-11-04 09:45:00,52,59
2015-11-04 09:50:00,47,59
2015-11-04 09:55:00,41,58
2015-11-04 10:00:00,54,58
2015-11-04 10:05:00,56,57
2015-11-04 10:10:00,52,56
2015-11-04 10:15:00,41,56
2015-11-04 10:20:00,61,55
2015-11-04 10:25:00,54,54
2015-11-04 10:30:00,40,54
2015-11-04 10:35:00,44,53
2015-11-04 10:40:00,42,52
2015-11-04 10:45:00,55,52
2015-11-04 10:50:00,39,51
2015-11-04 10:55:00,47,50
2015-11-04 11:00:00,39,50
2015-11-04 11:05:00,52,49
2015-11-04 11:10:00,38,49
2015-11-04 11:15:00,51,48
