ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
4920,500,500,6.955175041487864,2.798843176324488,5.862478316001384,1.8810091832654652
4950,439,371.9647240215554,6.847384842957801,2.4168953826089274,4.980996675194094,1.6466753319361755
4980,380,346.28031375155024,8.790153211500547,3.0439250872137973,8.394233517789488,2.5108491889336375
5010,345,322.36942900242144,6.595210302269958,2.25117868135727,5.575164304022926,1.7676248245020851
5040,308,282.73669355128237,5.231783319595346,1.8837940732156373,4.156184077248919,1.5018498297788827
5070,263,247.97648501499606,7.097636936536833,2.4527685178898713,8.865369501589932,2.5860290050016435
5100,221,207.47201302065596,4.3913279164324575,1.9145641128229558,5.274424383286092,1.732696190816821
5130,188,173.58354032738288,5.643392334665771,1.9264567995177366,5.618151152805087,1.7163236020080939
5160,179,196.8252344918764,6.29490300150207,2.224097815238735,8.598267681882502,2.7017733394465324
5190,192,223.17883861405966,4.5039398221957745,1.7722829041310313,5.963812648008194,1.9408992293176264
5220,182,182.2247590925761,5.097637531514951,1.9238779097227547,5.885743783781832,1.7564431114276704
5250,163,148.78589310956082,8.796143608802067,2.5597399116485215,10.127448821577643,3.5581956594997943
5280,165,182.22475995012746,5.388193702516118,1.7339304770951178,7.070076435633712,2.262406404615974
5310,198,223.1788407146228,5.438671193842115,2.0158693673791075,6.0199695406111635,1.9793512783386549
5340,207,210.41502941065704,8.70425705575265,3.3998573981118847,9.687715998828665,3.4006702289292723
5370,207,198.38119267991505,7.445432707176272,2.9598607020789043,8.367321411574274,2.81952049831176
5400,228,232.62256869697237,7.290518128544733,2.7493184838800744,6.394826435664549,2.076237371298771
5430,261,272.77414121856077,9.752148842878908,3.8718757732430693,10.327508670639702,3.88549163451484
5460,285,284.903299322312,8.09499644911205,3.119616668911107,7.372919489842146,2.585569127611371
5490,296,297.5717918206236,6.43962449678732,2.269833905829689,6.485461588087101,2.0351029718577447
5520,323,332.69537813149884,7.077474575191694,2.7494966497868853,9.308097923006876,3.333058428339143
5550,362,371.9647415262489,6.5528751772219405,2.7016644984238027,6.465449181280555,2.175155666467167
5580,395,395.9867071023669,6.158642649772552,2.3397346638954652,6.048328067926787,1.9561839325290127
5610,419,421.56004238028055,8.529324153638523,3.473911567340238,10.064491684973106,3.5604960327351765
5640,420,408.97331443849356,6.875945488331576,2.6580020018106776,7.355986283572734,2.3448940917271077
5670,414,396.76239469566684,7.6529448621352865,2.362147275637737,6.087589782089201,1.8526966599438142
5700,405,384.1635376683614,8.560582323717222,3.367902484315625,9.952573959564198,3.5793576373360527
5730,391,371.96474677765707,6.633241865287143,2.297727441704321,7.049235296091236,2.2073848194815096
5760,389,384.16353947623844,5.868499381858878,2.030256423426919,5.446118153336167,1.7247342395214158
5790,390,396.76239843000155,8.351251310579043,2.7340377165640324,9.373391685128324,3.042502935335628
5820,365,343.60631711533165,7.089106215296003,2.743308176991292,6.937970131623177,2.1897750539281966
5850,333,297.57180022287673,6.639783974439063,1.9725658347471737,5.634929450400953,1.7086005258867114
5880,309,297.57180092306453,8.164664269690519,3.0714110571969373,10.143415357320784,3.3929364084735076
5910,298,297.57180162325227,7.5304687436006645,3.1386404492476463,7.010207832888291,2.4057377809568723
5940,317,343.6063203493605,7.283633117889766,2.529442999881731,6.003121777321599,1.904985226556079
