ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
30210,500,500,6.496664147199363,2.3469342794173684,6.217282903678675,1.9672871337724318
30240,428,371.9647240215554,5.81738479250579,1.893298500805963,5.0465056748539165,1.6408040519853941
30270,394,371.5289941239317,7.828102017701481,2.406965408971451,8.481565170126677,2.5745876143714557
30300,384,371.0932642263079,6.939343499001214,2.609728748178779,6.332448930047796,2.079399590350994
30330,377,370.65753432868416,6.9177281411213105,2.1930783164926604,5.631345619888193,1.6985126249608191
30360,368,370.2218044310604,7.796063986152368,2.5664977745481004,8.566145972112949,2.668088022291233
30390,366,369.7860745334366,7.3021688089835965,2.5902701705119053,6.847224238127728,2.1685709240104956
30420,366,369.35034463581286,6.184297151601841,2.0736627685712254,5.914402714879659,1.873490428576934
30450,366,368.9146147381891,9.14822275368131,3.3867962402058094,9.494233641298608,3.1153538621176513
30480,366,368.47888484056534,6.997441277653038,2.4082764499645886,6.664407339428663,2.1985924157455776
