overheads,ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
1.948659390429465,31020,154,151.43135392539017,8.551191779915785,3.2901459021819126,7.494275888474869,2.451413539744253
1.9486531421915827,31050,154,151.960446088556,7.314541535455972,2.1041021325983533,5.5885766265776535,1.77630882957566
1.9484804244534373,31080,154,152.4895382517219,8.075985345672702,2.072137685714799,10.411111181552153,3.154232474768179
1.9484804244534373,31110,154,153.01863041488775,8.305181774555995,2.929439465426103,7.051207082005423,2.127522945919734
1.9484106211007082,31140,154,153.54772257805365,4.450692465212461,1.5038106247972318,4.556075571103096,1.5043352827975889
1.9483105368083409,31170,154,154.0768147412195,11.996974148372079,3.87932654882493,11.007477093582999,4.050788708239641
1.948081397507566,31200,154,154.6059069043854,5.772544983461155,1.8415540398766506,7.235603686879931,2.358299300059611
1.9478396552493893,31230,154,155.13499906755123,4.907108257626164,1.5310673728754307,6.130900083231131,1.9135891894364494
1.9476376578675096,31260,154,155.66409123071713,9.386544220236054,2.7835871461551402,10.191164011022384,3.45663226666138
1.947557629414438,31290,154,156.19318339388298,7.01819325987442,2.0778622318078033,7.854234352345039,2.52616443632631
1.9474396930232862,31320,154,156.72227555704887,5.08910305051981,1.801114681374221,6.028468273580323,1.8763754857520132
1.9474048714512675,31350,154,157.25136772021477,9.342197913237131,2.955442400041381,11.0621693230613,4.05606620207501
1.9475216378278033,31380,154,157.78045988338062,8.139928032574865,2.696381783462107,7.683330745315244,2.5786522899088378
1.9473478462141496,31410,154,158.3095520465465,4.548192737980207,1.6057819590043863,4.6167533324281065,1.5677801181255866
1.9470793927634629,31440,154,158.83864420971233,9.949888761739562,3.01001399048268,11.468107866695798,3.936953472645835
1.9469327290638017,31470,154,159.36773637287823,7.4216819086458425,2.6294463737844795,7.624609860643724,2.5294712371539494
1.9466754313792312,31500,154,159.89682853604407,4.161206355276028,1.5369866354752741,5.263975144519162,1.7346774387115753
1.9466754313792312,31530,155,160.42592069920997,7.905911994694799,2.450895727103597,10.887059131354246,3.670359438825768
1.9466969106517282,31560,156,160.95501286237578,8.972490839281477,3.5384198278744954,8.060963508145202,2.6010866305167464
1.9469156135687427,31590,157,161.4841050255417,5.903040790568005,1.7987120883143939,4.993679629341778,1.6636934393524117
1.9464591284421005,31620,158,162.01319718870752,9.996400619954784,3.294085588879444,10.620374512443288,3.741645703277403
1.9463847267488623,31650,158,162.54228935187342,8.340190650326523,3.0538395404510363,8.799958784408831,2.9099811577129833
1.9465044571377585,31680,159,163.0713815150393,6.9385826462062,2.142148522559832,5.886036838735522,1.8627216663620254
1.9461377558650192,31710,159,163.6004736782052,10.141316477368854,5.07284311471697,11.341178268639016,4.629158300615057
1.945814723656238,31740,160,164.129565841371,5.805323571903591,2.2986292466848197,7.120345594833218,2.2916143794992143
1.9454616250201127,31770,160,164.6586580045369,5.6173013679455135,1.999130138328052,4.91329366945966,1.6326284316481898
1.9454025797091763,31800,161,165.2441947360566,10.491512147802537,4.566302183057163,11.283169610866059,4.224734513223783
1.945240549974743,31830,161,165.8297314675763,8.220352734087852,2.8469524916765288,7.694089587815303,2.4754889985093795
1.9453652018308005,31860,162,166.415268199096,6.399049749282941,2.193859774143091,6.165684502525104,1.8489236844373007
1.945017591435733,31890,163,167.00080493061563,9.633621268202212,3.4018165131744587,10.898532861518836,3.8133020541068734
1.9450801758971898,31920,163,167.58634166213534,8.770641048166198,3.419912936977991,7.845221818840275,2.5628090846626264
1.9444858939945917,31950,164,168.17187839365502,5.020837214478368,1.8119088037511413,5.148413274532121,1.7791068562141859
1.949880223266903,31980,164,168.7574151251747,9.23614565931084,3.8689213994898326,10.463330657530324,3.367895388018315
1.949654214489803,32010,165,169.34295185669438,6.988093081421695,2.536272101044107,8.131455549407585,2.5393791393215497
1.9493623361710721,32040,165,169.9284885882141,5.048880628886228,1.779530332015339,5.208072915999053,1.6381804632137584
1.9492486111499814,32070,166,170.51402531973375,8.838039828797763,3.1050905237849245,11.0376989007122,4.029691519677387
1.9492486111499814,32100,167,171.09956205125346,9.216201715709612,3.2773516808217678,8.312172516107049,2.7358534077388836
1.9543581323057093,32130,167,171.6850987827731,6.90887576571604,1.8589237058630825,6.173131219532814,1.7784703481368629
1.9646546322438354,32160,168,172.27063551429282,8.101935652770532,2.5263764860648905,10.031575661203568,3.1263588605078447
1.96438143510511,32190,168,172.85617224581247,8.636227137856002,3.075402678593517,7.7017430847816355,2.5369878485343977
1.9645847939052357,32220,169,173.44170897733218,6.2046573231745,2.254343900766128,5.846818817082087,1.8071049958457623
1.9645171253837435,32250,170,174.0272457088519,9.39025413801692,3.8003258546872947,11.296150446423118,3.73590600677009
1.9642993832308406,32280,170,174.61278244037155,9.446543870382863,3.56206665005824,8.115959743129489,2.5524301054089347
1.96447904102382,32310,171,175.19831917189126,6.212355104921652,2.080854670805407,6.055439116459255,1.8450343075452666
1.9640664690482528,32340,171,175.7838559034109,9.508956376256048,2.882954569607511,11.107710720597403,3.8046989853533963
1.9632798109930694,32370,172,176.36939263493065,8.45736142823663,2.769271862580538,7.997336210417852,2.472107434170606
1.9629825459112102,32400,172,176.95492936645027,4.564478990346156,1.5458894774103287,5.6256871815738005,1.6990553572609959
1.962620693685208,32430,173,177.54046609797,9.911746681487326,2.7763497565641106,10.874797226898945,3.9502644186934424
1.9626877196356465,32460,174,178.12600282948964,9.208005996297922,3.4537246109787194,8.984582153948633,3.025423944236374
1.9622657851682137,32490,174,178.71153956100935,6.038055385193974,1.8907471313419297,6.1191154555017,1.8107918216176295
1.9621091219076274,32520,175,179.29707629252903,13.83447603515187,5.152235555845281,10.599054961138604,3.298598398285984
1.961920044776046,32550,175,179.88261302404874,9.763072830967827,3.3389282413047128,8.268578233083632,2.6368957391972794
1.9618359275109676,32580,176,180.46814975556836,7.492230225403127,2.1338993629509337,6.344617445381061,1.8763362796809961
1.9614811289761223,32610,177,181.05368648708807,9.106649896440379,4.10269195537273,10.749069620366702,3.864466612481277
1.9611494170587347,32640,177,181.63922321860775,9.69301613005673,3.408446614867063,8.386579112693504,2.6029138130818863
1.9659886657616479,32670,178,182.22475995012746,7.3359729873604635,2.616991141518462,6.077397435699571,1.8916381645991918
1.9712469246591169,32700,179,182.87276286498314,9.499483068348331,3.9451503235214416,10.089382894093555,3.611371290322608
