ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
145170,500,500,6.749682006518279,2.4823003964431134,6.526494454024418,2.18679595416085
145200,425,371.9647240215554,8.831159148184534,3.2754439905174495,8.625862912287662,2.7882151795008934
145230,388,371.5289941239317,8.427412620167791,2.9402561555065714,7.555404903488436,2.4590039317060586
145260,378,371.0932642263079,6.224825496161708,2.0880568821045458,5.519028433810942,1.7471430911571013
145290,368,370.65753432868416,8.117152145378128,2.7447192460890575,9.748972770351799,2.960202376571671
145320,368,370.2218044310604,7.816237414096298,3.022242930284622,7.5837794753712675,2.4868668889074064
145350,368,369.7860745334366,6.666406273513196,2.1617762255718316,5.767398029336846,1.8110824787211748
145380,368,369.35034463581286,9.313293802495007,3.634248234937775,9.88627284191796,3.624907816909009
145410,368,368.9146147381891,8.688523829618365,3.4930373667296135,7.249786087439801,2.3163686183005523
145440,368,368.47888484056534,6.360096420938829,2.0849055097405147,5.4516878702428295,1.7384186412111544
145470,368,368.04315494294156,9.151515488224671,2.950784259313556,10.091774723886454,3.341979546984451
145500,368,367.6074250453178,7.478595543212913,2.922232556537342,7.065195795664346,2.4095511532572904
145530,368,367.171695147694,6.198073322053849,2.0764468248262,6.485492351554809,1.9729848073844394
145560,368,366.7359652500703,8.930738777290943,3.677180215619138,10.107504111630025,3.2446879133080855
145590,368,366.3002353524465,7.241411159381714,2.6868778479807363,7.116390282509333,2.251260792669939
145620,368,365.86450545482273,5.989076244138493,2.093539726511094,5.6531514919388846,1.7068903656582097
145650,368,365.428775557199,9.241933185801363,3.9995794488478147,9.576741581971312,3.1630420348230284
145680,368,364.9930456595753,8.332455686005716,3.4023363248744425,7.006791756407431,2.3137740914207443
145710,368,364.5573157619515,7.200930866475335,2.4314741741918167,5.930745219483324,1.793058710065924
145740,368,364.1215858643277,8.813545106951217,3.4688568884302367,10.30079854300883,3.509875883975377
145770,368,363.68585596670397,8.01124007004565,3.2142574676614264,6.592283854105792,2.1029087247787155
145800,368,363.2501260690802,7.511051870324337,2.5222588309269387,5.667954316813984,1.6958866130969654
145830,368,362.81439617145645,9.099561027791967,3.663470885767787,9.777898398483364,3.6645814676164257
145860,368,362.37866627383266,6.561624878784551,2.3219826213400903,6.239047141103324,1.9943358241140474
145890,368,361.94293637620893,5.812056587777587,1.9986507035431282,5.582949216582724,1.7561798154327166
145920,366,361.50720647858515,7.2396201830013185,2.5236232357324124,9.318515242383631,3.1991294076425385
145950,366,361.0714765809614,7.290567492305606,2.9478786129556047,6.684740898280983,2.1743655003481037
145980,365,360.6357466833377,6.687884935257979,2.5164290118654016,6.016548118937144,1.9293202842588544
146010,365,360.20001678571384,7.837941260477336,2.984687808831349,9.659100505559172,3.3022159544029535
146040,364,359.7642868880901,7.048346070688676,2.8923002536661473,6.88712582690284,2.2100066128940097
146070,364,359.3285569904663,6.497933642982565,2.3531135803171535,5.935172682035835,1.8651104095662991
146100,363,358.8928270928426,8.268187737907265,3.186732364613264,9.858517507769587,3.3385319459220137
146130,363,358.47240998146617,7.554061534662807,2.7247627693988754,6.580936541743771,2.103414801278146
146160,363,358.0519928700898,7.127690116917279,2.3772789413489535,5.918878116188766,1.8323305252194895
146190,362,357.6315757587133,8.427963333256965,3.4702431286238693,9.739807242093871,3.338482291625602
146220,362,357.21115864733696,8.664035299168763,3.641460486099452,7.114082912915533,2.3167692033126186
146250,362,356.79074153596054,7.0450299130135,2.4252333906912584,6.188569979408121,1.8726025779590068
146280,361,356.3703244245841,9.110220534222671,2.9791137539314017,9.938756676474508,3.2370107838034143
146310,361,355.94990731320775,7.848102037330078,2.8909749881033195,7.4569026932950875,2.352277402254512
146340,360,355.5294902018313,7.094282054371176,2.3413533967039566,6.365825543105148,1.9204034124070986
146370,360,355.1090730904549,9.874118377311726,3.3233805356520714,10.197149520714493,3.607516225418043
146400,359,354.6886559790785,6.9330676407721965,2.361025889116235,6.9337275071506985,2.238480712557931
146430,359,354.26823886770205,6.535679740356967,2.1544299529670847,6.165150172398988,1.8845579692332382
146460,358,353.84782175632563,9.812146265141555,3.7528835169930512,9.737015209836489,3.4653564691719905
146490,358,353.4274046449492,8.755780653337423,3.0279755505681525,7.88374501758719,2.562748785773445
146520,357,353.00698753357284,7.865024672995214,2.5348569354951653,6.9314396134801965,2.0483765485176995
146550,357,352.5865704221964,9.590375899200426,3.333011288814711,9.89181262463415,3.1915019065126358
146580,357,352.16615331082,9.05585315469909,3.3785854076941444,7.87710125455124,2.6787607093544774
146610,356,351.7457361994436,7.026403994663039,2.1824822837410913,5.939815148497511,1.855868667186847
146640,356,351.3253190880672,9.136265730799945,3.353098591009705,10.041680066140337,3.5385875885504454
146670,356,350.9049019766908,7.917991840580683,2.9923858077457686,7.985013077135792,2.698988910713979
